,BY
2019-04-15,Osterferien
2019-04-16,Osterferien
2019-04-17,Osterferien
2019-04-18,Osterferien
2019-04-19,Osterferien
2019-04-20,Osterferien
2019-04-21,Osterferien
2019-04-22,Osterferien
2019-04-23,Osterferien
2019-04-24,Osterferien
2019-04-25,Osterferien
2019-04-26,Osterferien
2019-04-27,Osterferien
2019-06-11,Pfingstferien
2019-06-12,Pfingstferien
2019-06-13,Pfingstferien
2019-06-14,Pfingstferien
2019-06-15,Pfingstferien
2019-06-16,Pfingstferien
2019-06-17,Pfingstferien
2019-06-18,Pfingstferien
2019-06-19,Pfingstferien
2019-06-20,Pfingstferien
2019-06-21,Pfingstferien
2019-07-29,Sommerferien
2019-07-30,Sommerferien
2019-07-31,Sommerferien
2019-08-01,Sommerferien
2019-08-02,Sommerferien
2019-08-03,Sommerferien
2019-08-04,Sommerferien
2019-08-05,Sommerferien
2019-08-06,Sommerferien
2019-08-07,Sommerferien
2019-08-08,Sommerferien
2019-08-09,Sommerferien
2019-08-10,Sommerferien
2019-08-11,Sommerferien
2019-08-12,Sommerferien
2019-08-13,Sommerferien
2019-08-14,Sommerferien
2019-08-15,Sommerferien
2019-08-16,Sommerferien
2019-08-17,Sommerferien
2019-08-18,Sommerferien
2019-08-19,Sommerferien
2019-08-20,Sommerferien
2019-08-21,Sommerferien
2019-08-22,Sommerferien
2019-08-23,Sommerferien
2019-08-24,Sommerferien
2019-08-25,Sommerferien
2019-08-26,Sommerferien
2019-08-27,Sommerferien
2019-08-28,Sommerferien
2019-08-29,Sommerferien
2019-08-30,Sommerferien
2019-08-31,Sommerferien
2019-09-01,Sommerferien
2019-09-02,Sommerferien
2019-09-03,Sommerferien
2019-09-04,Sommerferien
2019-09-05,Sommerferien
2019-09-06,Sommerferien
2019-09-07,Sommerferien
2019-09-08,Sommerferien
2019-09-09,Sommerferien
2019-10-28,Herbstferien
2019-10-29,Herbstferien
2019-10-30,Herbstferien
2019-10-31,Herbstferien
2019-11-01,Herbstferien
2019-11-02,Herbstferien
2019-11-03,Herbstferien
2019-11-04,Herbstferien
2019-11-05,Herbstferien
2019-11-06,Herbstferien
2019-11-07,Herbstferien
2019-11-08,Herbstferien
2019-11-09,Herbstferien
2019-11-10,Herbstferien
2019-11-11,Herbstferien
2019-11-12,Herbstferien
2019-11-13,Herbstferien
2019-11-14,Herbstferien
2019-11-15,Herbstferien
2019-11-16,Herbstferien
2019-11-17,Herbstferien
2019-11-18,Herbstferien
2019-11-19,Herbstferien
2019-11-20,Herbstferien
2019-12-23,Weihnachtsferien
2019-12-24,Weihnachtsferien
2019-12-25,Weihnachtsferien
2019-12-26,Weihnachtsferien
2019-12-27,Weihnachtsferien
2019-12-28,Weihnachtsferien
2019-12-29,Weihnachtsferien
2019-12-30,Weihnachtsferien
2019-12-31,Weihnachtsferien
