,MV
2020-02-10,Winterferien
2020-02-11,Winterferien
2020-02-12,Winterferien
2020-02-13,Winterferien
2020-02-14,Winterferien
2020-02-15,Winterferien
2020-02-16,Winterferien
2020-02-17,Winterferien
2020-02-18,Winterferien
2020-02-19,Winterferien
2020-02-20,Winterferien
2020-02-21,Winterferien
2020-04-06,Osterferien
2020-04-07,Osterferien
2020-04-08,Osterferien
2020-04-09,Osterferien
2020-04-10,Osterferien
2020-04-11,Osterferien
2020-04-12,Osterferien
2020-04-13,Osterferien
2020-04-14,Osterferien
2020-04-15,Osterferien
2020-05-22,Pfingstferien
2020-05-29,Pfingstferien
2020-05-30,Pfingstferien
2020-05-31,Pfingstferien
2020-06-01,Pfingstferien
2020-06-02,Pfingstferien
2020-06-22,Sommerferien
2020-06-23,Sommerferien
2020-06-24,Sommerferien
2020-06-25,Sommerferien
2020-06-26,Sommerferien
2020-06-27,Sommerferien
2020-06-28,Sommerferien
2020-06-29,Sommerferien
2020-06-30,Sommerferien
2020-07-01,Sommerferien
2020-07-02,Sommerferien
2020-07-03,Sommerferien
2020-07-04,Sommerferien
2020-07-05,Sommerferien
2020-07-06,Sommerferien
2020-07-07,Sommerferien
2020-07-08,Sommerferien
2020-07-09,Sommerferien
2020-07-10,Sommerferien
2020-07-11,Sommerferien
2020-07-12,Sommerferien
2020-07-13,Sommerferien
2020-07-14,Sommerferien
2020-07-15,Sommerferien
2020-07-16,Sommerferien
2020-07-17,Sommerferien
2020-07-18,Sommerferien
2020-07-19,Sommerferien
2020-07-20,Sommerferien
2020-07-21,Sommerferien
2020-07-22,Sommerferien
2020-07-23,Sommerferien
2020-07-24,Sommerferien
2020-07-25,Sommerferien
2020-07-26,Sommerferien
2020-07-27,Sommerferien
2020-07-28,Sommerferien
2020-07-29,Sommerferien
2020-07-30,Sommerferien
2020-07-31,Sommerferien
2020-08-01,Sommerferien
2020-10-05,Herbstferien
2020-10-06,Herbstferien
2020-10-07,Herbstferien
2020-10-08,Herbstferien
2020-10-09,Herbstferien
2020-10-10,Herbstferien
2020-11-02,Herbstferien
2020-12-21,Weihnachtsferien
2020-12-22,Weihnachtsferien
2020-12-23,Weihnachtsferien
2020-12-24,Weihnachtsferien
2020-12-25,Weihnachtsferien
2020-12-26,Weihnachtsferien
2020-12-27,Weihnachtsferien
2020-12-28,Weihnachtsferien
2020-12-29,Weihnachtsferien
2020-12-30,Weihnachtsferien
2020-12-31,Weihnachtsferien
