,BY
2020-02-24,Winterferien
2020-02-25,Winterferien
2020-02-26,Winterferien
2020-02-27,Winterferien
2020-02-28,Winterferien
2020-03-04,Winterferien
2020-03-05,Winterferien
2020-03-06,Winterferien
2020-03-07,Winterferien
2020-03-08,Winterferien
2020-04-06,Osterferien
2020-04-07,Osterferien
2020-04-08,Osterferien
2020-04-09,Osterferien
2020-04-10,Osterferien
2020-04-11,Osterferien
2020-04-12,Osterferien
2020-04-13,Osterferien
2020-04-14,Osterferien
2020-04-15,Osterferien
2020-04-16,Osterferien
2020-04-17,Osterferien
2020-04-18,Osterferien
2020-06-02,Pfingstferien
2020-06-03,Pfingstferien
2020-06-04,Pfingstferien
2020-06-05,Pfingstferien
2020-06-06,Pfingstferien
2020-06-07,Pfingstferien
2020-06-08,Pfingstferien
2020-06-09,Pfingstferien
2020-06-10,Pfingstferien
2020-06-11,Pfingstferien
2020-06-12,Pfingstferien
2020-06-13,Pfingstferien
2020-07-27,Sommerferien
2020-07-28,Sommerferien
2020-07-29,Sommerferien
2020-07-30,Sommerferien
2020-07-31,Sommerferien
2020-08-01,Sommerferien
2020-08-02,Sommerferien
2020-08-03,Sommerferien
2020-08-04,Sommerferien
2020-08-05,Sommerferien
2020-08-06,Sommerferien
2020-08-07,Sommerferien
2020-08-08,Sommerferien
2020-08-09,Sommerferien
2020-08-10,Sommerferien
2020-08-11,Sommerferien
2020-08-12,Sommerferien
2020-08-13,Sommerferien
2020-08-14,Sommerferien
2020-08-15,Sommerferien
2020-08-16,Sommerferien
2020-08-17,Sommerferien
2020-08-18,Sommerferien
2020-08-19,Sommerferien
2020-08-20,Sommerferien
2020-08-21,Sommerferien
2020-08-22,Sommerferien
2020-08-23,Sommerferien
2020-08-24,Sommerferien
2020-08-25,Sommerferien
2020-08-26,Sommerferien
2020-08-27,Sommerferien
2020-08-28,Sommerferien
2020-08-29,Sommerferien
2020-08-30,Sommerferien
2020-08-31,Sommerferien
2020-09-01,Sommerferien
2020-09-02,Sommerferien
2020-09-03,Sommerferien
2020-09-04,Sommerferien
2020-09-05,Sommerferien
2020-09-06,Sommerferien
2020-09-07,Sommerferien
2020-10-31,Herbstferien
2020-11-01,Herbstferien
2020-11-02,Herbstferien
2020-11-03,Herbstferien
2020-11-04,Herbstferien
2020-11-05,Herbstferien
2020-11-06,Herbstferien
2020-11-18,Herbstferien
2020-12-23,Weihnachtsferien
2020-12-24,Weihnachtsferien
2020-12-25,Weihnachtsferien
2020-12-26,Weihnachtsferien
2020-12-27,Weihnachtsferien
2020-12-28,Weihnachtsferien
2020-12-29,Weihnachtsferien
2020-12-30,Weihnachtsferien
2020-12-31,Weihnachtsferien
