,0
Neujahr,2006-01-01
Karfreitag,2006-04-14
Ostermontag,2006-04-17
Erster Mai,2006-05-01
Christi Himmelfahrt,2006-05-25
Pfingstmontag,2006-06-05
Tag der Deutschen Einheit,2006-10-03
Erster Weihnachtstag,2006-12-25
Zweiter Weihnachtstag,2006-12-26
Heilige Drei Könige,2006-01-06
Fronleichnam,2006-06-15
Allerheiligen,2006-11-01
