,0
Neujahr,2010-01-01
Karfreitag,2010-04-02
Ostermontag,2010-04-05
Erster Mai,2010-05-01
Christi Himmelfahrt,2010-05-13
Pfingstmontag,2010-05-24
Tag der Deutschen Einheit,2010-10-03
Erster Weihnachtstag,2010-12-25
Zweiter Weihnachtstag,2010-12-26
Heilige Drei Könige,2010-01-06
Fronleichnam,2010-06-03
Allerheiligen,2010-11-01
