,0
Neujahr,2010-01-01
Karfreitag,2010-04-02
Ostermontag,2010-04-05
Erster Mai,2010-05-01
Christi Himmelfahrt,2010-05-13
Pfingstmontag,2010-05-24
Tag der Deutschen Einheit,2010-10-03
Erster Weihnachtstag,2010-12-25
Zweiter Weihnachtstag,2010-12-26
Ostersonntag,2010-04-04
Pfingstsonntag,2010-05-23
Reformationstag,2010-10-31
