,BY
2017-04-10,Osterferien
2017-04-11,Osterferien
2017-04-12,Osterferien
2017-04-13,Osterferien
2017-04-14,Osterferien
2017-04-15,Osterferien
2017-04-16,Osterferien
2017-04-17,Osterferien
2017-04-18,Osterferien
2017-04-19,Osterferien
2017-04-20,Osterferien
2017-04-21,Osterferien
2017-06-06,Pfingstferien
2017-06-07,Pfingstferien
2017-06-08,Pfingstferien
2017-06-09,Pfingstferien
2017-06-10,Pfingstferien
2017-06-11,Pfingstferien
2017-06-12,Pfingstferien
2017-06-13,Pfingstferien
2017-06-14,Pfingstferien
2017-06-15,Pfingstferien
2017-06-16,Pfingstferien
2017-07-31,Sommerferien
2017-08-01,Sommerferien
2017-08-02,Sommerferien
2017-08-03,Sommerferien
2017-08-04,Sommerferien
2017-08-05,Sommerferien
2017-08-06,Sommerferien
2017-08-07,Sommerferien
2017-08-08,Sommerferien
2017-08-09,Sommerferien
2017-08-10,Sommerferien
2017-08-11,Sommerferien
2017-08-12,Sommerferien
2017-08-13,Sommerferien
2017-08-14,Sommerferien
2017-08-15,Sommerferien
2017-08-16,Sommerferien
2017-08-17,Sommerferien
2017-08-18,Sommerferien
2017-08-19,Sommerferien
2017-08-20,Sommerferien
2017-08-21,Sommerferien
2017-08-22,Sommerferien
2017-08-23,Sommerferien
2017-08-24,Sommerferien
2017-08-25,Sommerferien
2017-08-26,Sommerferien
2017-08-27,Sommerferien
2017-08-28,Sommerferien
2017-08-29,Sommerferien
2017-08-30,Sommerferien
2017-08-31,Sommerferien
2017-09-01,Sommerferien
2017-09-02,Sommerferien
2017-09-03,Sommerferien
2017-09-04,Sommerferien
2017-09-05,Sommerferien
2017-09-06,Sommerferien
2017-09-07,Sommerferien
2017-09-08,Sommerferien
2017-09-09,Sommerferien
2017-09-10,Sommerferien
2017-09-11,Sommerferien
2017-10-28,Herbstferien
2017-10-29,Herbstferien
2017-10-30,Herbstferien
2017-10-31,Herbstferien
2017-11-01,Herbstferien
2017-11-02,Herbstferien
2017-11-03,Herbstferien
2017-11-04,Herbstferien
2017-11-05,Herbstferien
2017-11-06,Herbstferien
2017-11-07,Herbstferien
2017-11-08,Herbstferien
2017-11-09,Herbstferien
2017-11-10,Herbstferien
2017-11-11,Herbstferien
2017-11-12,Herbstferien
2017-11-13,Herbstferien
2017-11-14,Herbstferien
2017-11-15,Herbstferien
2017-11-16,Herbstferien
2017-11-17,Herbstferien
2017-11-18,Herbstferien
2017-11-19,Herbstferien
2017-11-20,Herbstferien
2017-11-21,Herbstferien
2017-11-22,Herbstferien
2017-12-26,Weihnachtsferien
2017-12-27,Weihnachtsferien
2017-12-28,Weihnachtsferien
2017-12-29,Weihnachtsferien
2017-12-30,Weihnachtsferien
2017-12-31,Weihnachtsferien
