,0
Neujahr,2015-01-01
Karfreitag,2015-04-03
Ostermontag,2015-04-06
Erster Mai,2015-05-01
Christi Himmelfahrt,2015-05-14
Pfingstmontag,2015-05-25
Tag der Deutschen Einheit,2015-10-03
Erster Weihnachtstag,2015-12-25
Zweiter Weihnachtstag,2015-12-26
Ostersonntag,2015-04-05
Pfingstsonntag,2015-05-24
Reformationstag,2015-10-31
