,0
Neujahr,2013-01-01
Karfreitag,2013-03-29
Ostermontag,2013-04-01
Erster Mai,2013-05-01
Christi Himmelfahrt,2013-05-09
Pfingstmontag,2013-05-20
Tag der Deutschen Einheit,2013-10-03
Erster Weihnachtstag,2013-12-25
Zweiter Weihnachtstag,2013-12-26
Reformationstag,2013-10-31
Buß- und Bettag,2013-11-20
