,0
Neujahr,2001-01-01
Karfreitag,2001-04-13
Ostermontag,2001-04-16
Erster Mai,2001-05-01
Christi Himmelfahrt,2001-05-24
Pfingstmontag,2001-06-04
Tag der Deutschen Einheit,2001-10-03
Erster Weihnachtstag,2001-12-25
Zweiter Weihnachtstag,2001-12-26
Fronleichnam,2001-06-14
