,0
Neujahr,2005-01-01
Karfreitag,2005-03-25
Ostermontag,2005-03-28
Erster Mai,2005-05-01
Christi Himmelfahrt,2005-05-05
Pfingstmontag,2005-05-16
Tag der Deutschen Einheit,2005-10-03
Erster Weihnachtstag,2005-12-25
Zweiter Weihnachtstag,2005-12-26
Fronleichnam,2005-05-26
