,0
Neujahr,2002-01-01
Karfreitag,2002-03-29
Ostermontag,2002-04-01
Erster Mai,2002-05-01
Christi Himmelfahrt,2002-05-09
Pfingstmontag,2002-05-20
Tag der Deutschen Einheit,2002-10-03
Erster Weihnachtstag,2002-12-25
Zweiter Weihnachtstag,2002-12-26
Fronleichnam,2002-05-30
Mariä Himmelfahrt,2002-08-15
Allerheiligen,2002-11-01
