,0
Neujahr,2007-01-01
Karfreitag,2007-04-06
Ostermontag,2007-04-09
Erster Mai,2007-05-01
Christi Himmelfahrt,2007-05-17
Pfingstmontag,2007-05-28
Tag der Deutschen Einheit,2007-10-03
Erster Weihnachtstag,2007-12-25
Zweiter Weihnachtstag,2007-12-26
Ostersonntag,2007-04-08
Pfingstsonntag,2007-05-27
Reformationstag,2007-10-31
