,0
Neujahr,2020-01-01
Karfreitag,2020-04-10
Ostermontag,2020-04-13
Erster Mai,2020-05-01
Christi Himmelfahrt,2020-05-21
Pfingstmontag,2020-06-01
Tag der Deutschen Einheit,2020-10-03
Erster Weihnachtstag,2020-12-25
Zweiter Weihnachtstag,2020-12-26
Internationaler Frauentag,2020-03-08
75. Jahrestag der Befreiung vom Nationalsozialismus und der Beendigung des Zweiten Weltkriegs in Europa,2020-05-08
