,0
Neujahr,2003-01-01
Karfreitag,2003-04-18
Ostermontag,2003-04-21
Erster Mai,2003-05-01
Christi Himmelfahrt,2003-05-29
Pfingstmontag,2003-06-09
Tag der Deutschen Einheit,2003-10-03
Erster Weihnachtstag,2003-12-25
Zweiter Weihnachtstag,2003-12-26
Fronleichnam,2003-06-19
Mariä Himmelfahrt,2003-08-15
Allerheiligen,2003-11-01
