,0
Neujahr,2003-01-01
Karfreitag,2003-04-18
Ostermontag,2003-04-21
Erster Mai,2003-05-01
Christi Himmelfahrt,2003-05-29
Pfingstmontag,2003-06-09
Tag der Deutschen Einheit,2003-10-03
Erster Weihnachtstag,2003-12-25
Zweiter Weihnachtstag,2003-12-26
Reformationstag,2003-10-31
Buß- und Bettag,2003-11-19
