,0
Neujahr,2011-01-01
Karfreitag,2011-04-22
Ostermontag,2011-04-25
Erster Mai,2011-05-01
Christi Himmelfahrt,2011-06-02
Pfingstmontag,2011-06-13
Tag der Deutschen Einheit,2011-10-03
Erster Weihnachtstag,2011-12-25
Zweiter Weihnachtstag,2011-12-26
Reformationstag,2011-10-31
Buß- und Bettag,2011-11-16
