,0
Neujahr,2025-01-01
Karfreitag,2025-04-18
Ostermontag,2025-04-21
Erster Mai,2025-05-01
Christi Himmelfahrt,2025-05-29
Pfingstmontag,2025-06-09
Tag der Deutschen Einheit,2025-10-03
Erster Weihnachtstag,2025-12-25
Zweiter Weihnachtstag,2025-12-26
Internationaler Frauentag,2025-03-08
Reformationstag,2025-10-31
