,0
Neujahr,2016-01-01
Karfreitag,2016-03-25
Ostermontag,2016-03-28
Erster Mai,2016-05-01
Christi Himmelfahrt,2016-05-05
Pfingstmontag,2016-05-16
Tag der Deutschen Einheit,2016-10-03
Erster Weihnachtstag,2016-12-25
Zweiter Weihnachtstag,2016-12-26
Heilige Drei Könige,2016-01-06
Fronleichnam,2016-05-26
Allerheiligen,2016-11-01
