,0
Neujahr,2018-01-01
Karfreitag,2018-03-30
Ostermontag,2018-04-02
Erster Mai,2018-05-01
Christi Himmelfahrt,2018-05-10
Pfingstmontag,2018-05-21
Tag der Deutschen Einheit,2018-10-03
Erster Weihnachtstag,2018-12-25
Zweiter Weihnachtstag,2018-12-26
Reformationstag,2018-10-31
