,0
Neujahr,2012-01-01
Karfreitag,2012-04-06
Ostermontag,2012-04-09
Erster Mai,2012-05-01
Christi Himmelfahrt,2012-05-17
Pfingstmontag,2012-05-28
Tag der Deutschen Einheit,2012-10-03
Erster Weihnachtstag,2012-12-25
Zweiter Weihnachtstag,2012-12-26
Reformationstag,2012-10-31
Buß- und Bettag,2012-11-21
