,0
Neujahr,2024-01-01
Karfreitag,2024-03-29
Ostermontag,2024-04-01
Erster Mai,2024-05-01
Christi Himmelfahrt,2024-05-09
Pfingstmontag,2024-05-20
Tag der Deutschen Einheit,2024-10-03
Erster Weihnachtstag,2024-12-25
Zweiter Weihnachtstag,2024-12-26
Reformationstag,2024-10-31
Buß- und Bettag,2024-11-20
