,0
Neujahr,2008-01-01
Karfreitag,2008-03-21
Ostermontag,2008-03-24
Christi Himmelfahrt; Erster Mai,2008-05-01
Pfingstmontag,2008-05-12
Tag der Deutschen Einheit,2008-10-03
Erster Weihnachtstag,2008-12-25
Zweiter Weihnachtstag,2008-12-26
Fronleichnam,2008-05-22
