,0
Neujahr,2019-01-01
Karfreitag,2019-04-19
Ostermontag,2019-04-22
Erster Mai,2019-05-01
Christi Himmelfahrt,2019-05-30
Pfingstmontag,2019-06-10
Tag der Deutschen Einheit,2019-10-03
Erster Weihnachtstag,2019-12-25
Zweiter Weihnachtstag,2019-12-26
Heilige Drei Könige,2019-01-06
Reformationstag,2019-10-31
