,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-07-23,187,90,44,51,111,572,1423,1890,1586,1372,1331,1264,1290,1464,1434,1639,1797,1880,1602,1107,793,675,504,268
2019-07-24,131,85,44,64,116,549,1497,1833,1605,1368,1192,1144,1272,1437,1382,1587,1768,1799,1487,1050,854,636,532,308
2019-07-25,170,60,47,58,136,583,1465,1778,1514,1354,1242,1123,1306,1486,1461,1621,1788,1748,1483,1085,896,623,576,323
2019-07-26,168,79,42,59,131,545,1306,1691,1643,1232,1244,1348,1464,1626,1665,1745,1705,1592,1508,1109,878,644,572,407
2019-07-27,294,156,105,85,80,192,346,487,677,1042,1200,1435,1390,1486,1394,1196,1382,1213,1203,1017,837,587,464,483
2019-07-28,363,276,163,111,96,125,177,220,316,489,627,831,1032,961,986,951,1022,1056,915,809,697,507,417,226
2019-07-29,133,80,38,61,113,594,1348,1732,1652,1276,1248,1054,1159,1165,1322,1502,1660,1956,1575,1099,712,558,424,244
2019-07-30,124,80,44,54,111,536,1374,1700,1592,1304,1265,1177,1227,1317,1486,1584,1752,1842,1479,1097,723,695,397,234
2019-07-31,143,80,46,55,114,559,1298,1693,1577,1379,1262,1153,1307,1426,1463,1588,1762,1899,1594,1076,812,637,519,277
2019-08-01,157,93,46,66,109,546,1332,1669,1532,1268,1302,1058,1162,1350,1438,1561,1851,1942,1646,1141,623,636,512,305
2019-08-02,163,99,45,71,107,521,1264,1578,1462,1294,1229,1226,1342,1409,1514,1626,1727,1577,1196,1083,816,602,559,405
2019-08-03,280,180,95,68,73,186,320,359,552,905,1172,1282,1549,1268,1390,1430,1224,1255,1161,983,849,567,570,484
2019-08-04,330,251,151,112,68,122,144,145,233,437,675,895,1143,1124,1107,1081,1015,990,972,1037,800,602,389,239
2019-08-05,143,89,43,61,122,552,1333,1616,1503,1257,1283,1297,1354,1303,1231,1447,1794,1774,1457,971,723,777,406,230
2019-08-06,131,73,57,54,117,533,1279,1702,1501,1338,1168,1175,1176,1229,1304,1508,1841,1924,1503,1031,636,557,383,241
2019-08-07,128,81,62,54,98,513,1329,1687,1584,1144,1099,1141,1203,1259,1325,1495,1849,1878,1589,1042,760,605,464,265
2019-08-08,137,80,58,71,112,533,1345,1653,1443,1251,1179,1199,1227,1356,1293,1513,1731,1806,1561,1114,751,628,467,331
2019-08-09,169,83,57,64,121,511,1237,1463,1377,1237,1220,1197,1385,1498,1647,1775,1581,1560,1363,1083,701,541,487,361
2019-08-10,243,169,108,82,91,210,299,401,520,773,949,1136,1200,1193,1084,1061,1213,1218,1178,976,791,486,495,414
2019-08-11,327,222,163,112,86,125,128,137,281,485,708,959,899,1018,1118,1027,950,1116,996,766,660,494,374,234
2019-08-12,123,101,39,54,106,553,1317,1602,1558,1194,1128,1058,1151,1230,1239,1455,1616,1664,1408,961,723,534,414,219
2019-08-13,120,73,43,52,112,515,1286,1587,1527,1250,1115,1091,1171,1270,1342,1516,1743,1775,1404,1068,775,638,429,242
2019-08-14,140,81,42,72,115,528,1324,1625,1329,1201,1175,1179,1131,1261,1318,1470,1666,1764,1381,808,755,584,451,257
2019-08-15,131,77,54,64,114,539,1216,1571,1541,1178,1061,1113,1179,1337,1385,1443,1745,1636,1442,950,727,543,468,239
2019-08-16,149,97,46,63,111,500,1190,1511,1364,1149,1115,1135,1317,1450,1503,1536,1411,1405,1312,936,550,580,483,405
2019-08-17,278,180,86,61,75,184,283,351,453,761,926,972,1076,1077,1193,1107,1062,1089,1057,896,710,546,481,426
2019-08-18,336,235,119,87,69,110,108,121,186,422,650,768,984,917,1092,1017,960,922,837,758,704,492,403,238
2019-08-19,138,81,54,59,112,534,1273,1610,1525,1194,1211,1113,1095,1293,1301,1429,1435,1669,1474,913,639,510,370,228
2019-08-20,120,67,48,61,107,536,1300,1656,1547,1197,1185,1025,1093,1334,1214,1459,1656,1728,1398,970,741,576,412,223
2019-08-21,94,62,47,53,109,516,1309,1563,1493,1188,1083,996,1139,1245,1352,1313,1300,984,940,986,821,641,445,274
2019-08-22,163,68,38,60,109,539,1324,1554,1542,1240,1088,1060,1149,1265,1258,1367,1583,1556,1402,1059,729,595,435,334
2019-08-23,163,86,46,59,114,515,1205,1446,1333,1113,1094,1017,1063,1362,1539,1492,1438,1344,1245,981,734,538,508,381
2019-08-24,270,154,111,71,73,207,321,370,541,726,990,972,1033,1140,1168,1088,1008,1044,1050,833,718,585,470,491
2019-08-25,384,273,125,96,65,115,136,120,216,423,621,733,1011,959,912,1036,845,915,893,866,623,556,434,303
2019-08-26,356,204,61,65,112,554,1281,1603,1585,1206,1048,1001,1001,1109,1116,1321,1614,1616,1261,859,645,521,363,192
2019-08-27,118,65,44,60,125,518,1261,1587,1468,1221,1045,1011,1002,1100,1126,1352,1567,1560,1355,975,643,575,390,252
2019-08-28,185,118,47,24,49,285,851,1448,1333,1038,1012,1059,1192,1258,1235,1491,1818,1867,1545,1169,863,618,498,356
2019-08-29,199,123,47,25,53,310,884,1558,1334,1070,999,1064,1162,1222,1248,1529,1899,1919,1608,1242,864,646,561,397
2019-08-30,206,135,63,31,49,297,844,1408,1263,1034,1023,1154,1308,1390,1491,1597,1709,1627,1432,1177,912,655,557,468
2019-08-31,367,294,164,118,115,180,257,359,559,745,894,1049,1196,1280,1258,1190,1228,948,857,758,646,549,523,537
2019-09-01,303,248,121,105,69,117,125,136,211,367,496,650,706,788,497,1027,966,1186,1205,913,760,549,413,311
2019-09-02,151,84,56,54,101,520,1276,1667,1493,1288,1188,1179,1206,1316,1255,1564,1785,1764,1418,1000,745,582,420,265
2019-09-03,131,69,47,56,105,512,1316,1594,1647,1276,1014,983,1109,1263,1237,1504,1810,1673,1466,1095,868,732,471,314
2019-09-04,128,69,55,58,115,491,1309,1569,1605,1243,1164,1079,1139,1274,1305,1470,1953,1861,1436,1034,813,610,474,327
2019-09-05,135,82,72,59,114,507,1255,1627,1542,1207,1048,1149,1170,1372,1486,1806,1895,1847,1534,1069,769,653,475,295
2019-09-06,135,93,60,68,111,486,1248,1541,1544,1155,1185,1318,1478,1708,1817,1769,1788,1779,1502,1238,879,692,666,482
2019-09-07,302,191,102,70,65,176,294,358,664,763,965,1084,1293,1200,1304,1223,1212,1169,1166,1006,855,577,540,511
2019-09-08,414,251,146,118,104,122,113,154,212,402,531,674,870,877,1088,1075,852,1073,1007,804,613,529,427,283
2019-09-09,152,69,45,59,103,541,1347,1679,1637,1332,1311,1164,1196,1318,1370,1459,1794,1770,1521,1088,777,572,407,226
2019-09-10,125,67,49,59,101,513,1356,1625,1510,1229,1110,975,1128,1272,1259,1423,1698,1794,1652,1091,884,603,472,251
2019-09-11,114,74,39,63,109,507,1361,1628,1581,1279,1122,1094,1147,1475,1608,1738,1788,1740,1511,1094,839,655,513,319
2019-09-12,116,65,30,59,100,517,1341,1638,1569,1220,1232,1165,1280,1373,1421,1571,1903,1789,1591,1102,950,743,488,283
2019-09-13,152,75,56,64,116,507,1273,1614,1588,1176,1118,1211,1434,1703,1616,2078,1784,1714,1474,1121,835,722,538,422
2019-09-14,271,169,114,95,79,192,315,446,792,1063,1320,1397,1467,1485,1280,1305,1333,1260,1225,1066,885,573,519,440
2019-09-15,339,225,151,106,88,123,142,170,277,494,787,1034,1381,1607,1517,1279,1285,1350,1223,1128,944,706,383,189
2019-09-16,92,68,40,55,118,525,1500,1361,1353,1216,1105,1058,1134,1271,1346,1480,1603,1657,1431,1106,697,542,502,247
2019-09-17,102,61,42,54,104,537,1442,1652,1477,1288,1116,1059,1136,1303,1465,1602,1935,1799,1598,1095,813,579,410,269
2019-09-18,96,52,47,63,111,527,1412,1579,1522,1277,1218,1163,1150,1428,1469,1563,1969,1827,1506,1133,878,632,432,245
2019-09-19,113,73,46,48,115,519,1432,1574,1572,1273,1197,1150,1211,1324,1435,1726,1786,1736,1540,1193,866,654,454,277
2019-09-20,142,86,44,66,103,492,1310,1575,1474,1369,1226,1223,1427,1648,1666,1872,1768,1855,1468,1260,874,642,789,453
2019-09-21,300,151,96,72,96,233,322,491,747,919,1075,1252,1298,1376,1630,1353,1308,1257,1244,1085,916,638,565,584
2019-09-22,319,232,147,112,103,150,123,158,265,531,916,1069,1049,1110,1164,1022,1084,1130,1188,848,697,527,371,193
2019-09-23,98,39,48,46,120,518,1344,1586,1431,1509,1184,1148,1316,1467,1414,1588,1769,1951,1564,1028,721,584,364,247
2019-09-24,119,66,48,48,110,515,1374,1546,1479,1243,1145,1120,1174,1342,1417,1651,1824,1808,1552,1034,756,686,431,233
2019-09-25,109,43,45,46,106,489,1446,1514,1492,1260,1196,1150,1210,1438,1384,1700,1968,1801,1543,1049,770,657,445,245
2019-09-26,105,59,53,60,114,486,1384,1558,1540,1286,1131,1257,1292,1423,1493,1749,1888,1832,1642,1290,846,806,650,301
2019-09-27,138,72,54,68,107,467,1382,1626,1460,1253,1359,1450,1502,1600,1824,1781,1827,1651,1699,1333,1035,729,590,417
2019-09-28,269,180,95,88,85,187,320,485,868,1087,1437,1466,1584,1485,1439,1535,1439,1346,1308,1122,876,623,597,483
2019-09-29,321,203,150,118,90,123,130,138,223,438,780,1221,1340,1402,1410,1512,1136,1202,1147,961,698,532,357,192
2019-09-30,99,59,46,52,111,506,1423,1393,1333,1177,1231,1301,1394,1539,1577,1673,1937,1796,1645,1126,789,678,402,210
2019-10-01,114,56,39,64,111,515,1446,1448,1273,1156,1393,1316,1429,1493,1593,1477,1748,1920,1609,1190,892,608,428,227
2019-10-02,101,54,46,60,101,482,1361,1512,1402,1244,1295,1281,1419,1602,1672,1789,1931,1732,1543,1306,1063,824,593,436
2019-10-03,294,196,131,99,88,137,151,161,232,650,1074,1137,1654,1230,1196,1170,921,924,868,774,655,514,460,297
2019-10-04,143,91,60,73,102,315,804,1063,1101,1067,1148,1245,1559,1336,1624,1587,1676,1671,1525,1114,848,622,631,387
2019-10-05,249,159,98,69,66,195,302,360,562,792,1158,1175,1230,1297,1325,1452,1427,1483,1344,1095,799,526,699,480
2019-10-06,290,201,154,117,90,118,142,125,213,442,497,1099,1183,1057,1330,1233,1243,1334,1487,964,807,734,465,205
2019-10-07,108,58,49,59,111,532,1506,1533,1350,1309,1405,1434,1512,1380,1542,1708,1837,1810,1691,1339,898,734,475,256
2019-10-08,113,71,42,61,108,529,1456,1450,1333,1226,1153,1126,1299,1505,1546,1619,1777,1806,1527,1185,823,673,505,224
2019-10-09,109,55,52,51,118,515,1431,1413,1336,1259,1267,1165,1491,1544,1549,1564,1676,1876,1665,1249,801,669,449,257
2019-10-10,90,73,53,60,110,541,1382,1427,1456,1450,1376,1352,1479,1675,1565,1659,1783,1876,1765,1201,913,663,563,294
2019-10-11,148,83,64,63,106,525,1335,1514,1360,1258,1428,1539,1463,1855,1690,1575,1348,1512,1572,1384,924,655,659,641
2019-10-12,303,170,117,68,81,189,362,448,705,1117,1637,1601,1427,1427,1648,1385,1567,1671,1436,1077,875,650,724,498
2019-10-13,371,253,149,103,95,144,135,138,243,494,929,1095,1395,1510,1575,1443,1422,1445,1420,1160,938,529,406,192
2019-10-14,102,73,44,61,110,545,1474,1529,1133,1222,1063,1110,1228,1370,1399,1769,1814,1866,1703,1194,770,614,411,207
2019-10-15,130,76,39,62,119,562,1470,1411,1298,1319,1336,1314,1432,1593,1452,1684,1783,1711,1581,1104,776,688,571,291
2019-10-16,111,55,41,53,114,530,1498,1521,1322,1312,1282,1262,1406,1518,1421,1750,1958,1814,1839,1376,881,690,480,278
2019-10-17,138,73,51,67,110,572,1487,1402,1401,1400,1402,1342,1428,1592,1560,1738,1721,1743,1560,1222,821,639,532,482
2019-10-18,155,80,49,76,110,529,1391,1549,1399,1166,1254,1515,1504,1462,1625,1720,1834,1843,1698,1328,859,633,862,547
2019-10-19,349,196,128,90,71,198,346,454,709,950,1201,1413,1537,1596,1532,1467,1493,1345,1345,995,762,557,630,477
2019-10-20,356,284,151,97,84,141,134,125,252,405,582,836,1222,1323,1443,1407,1255,1278,1335,999,826,561,465,214
2019-10-21,90,48,43,53,116,551,1508,1564,1276,1414,1293,1352,1265,1368,1501,1739,1641,1891,1436,1089,687,598,359,233
2019-10-22,98,58,49,54,116,553,1510,1476,1343,1372,1350,1423,1528,1561,1601,1877,1789,1753,1694,1140,756,701,445,246
2019-10-23,108,56,39,60,99,546,1492,1580,1517,1308,1236,1125,1229,1511,1539,1653,1899,1922,1520,1171,811,712,535,270
2019-10-24,112,75,41,68,107,515,1514,1552,1381,1367,1424,1322,1372,1605,1559,1722,1966,1824,1655,1265,824,653,487,303
2019-10-25,165,84,58,56,112,514,1368,1545,1333,1373,1368,1455,1567,1746,1746,1799,1803,1746,1591,1191,790,638,752,527
2019-10-26,371,214,140,97,74,158,332,438,650,967,1250,1390,1748,1617,1665,1410,1211,1304,1248,956,774,575,698,798
2019-10-27,472,341,379,85,57,112,128,154,267,548,719,869,1116,1247,1306,1253,1243,1158,1115,1224,755,483,351,214
2019-10-28,104,61,41,52,119,534,1467,1641,1425,1367,1249,1293,1424,1510,1437,1640,1741,1784,1627,1128,717,552,348,200
2019-10-29,103,59,48,49,127,579,1566,1423,1316,1294,1335,1319,1400,1152,1411,1577,1786,1871,1702,1174,750,590,554,240
2019-10-30,131,64,44,58,115,526,1429,1476,1426,1201,1156,1302,1256,1572,1467,1764,1813,1825,1712,1333,786,641,499,257
2019-10-31,142,73,47,55,109,501,1384,1474,1466,1256,1245,1362,1471,1518,1647,1827,1892,1701,1716,1312,925,744,463,437
2019-11-01,306,241,143,120,109,176,176,163,208,393,594,729,937,953,1013,1041,995,1073,952,757,614,457,582,414
2019-11-02,389,304,184,138,127,188,257,363,576,756,918,1072,1213,1302,1272,1205,1243,958,872,769,651,555,532,542
2019-11-03,329,237,149,95,88,118,147,118,203,373,536,798,1518,1506,1677,1490,1535,1264,1058,969,916,702,811,202
2019-11-04,97,66,46,57,108,528,1544,1365,1434,1230,1179,1295,1319,1405,1383,1753,1679,1809,1565,1053,707,661,464,238
2019-11-05,114,53,47,64,117,535,1535,1352,1374,1404,1464,1401,1401,1595,1410,1775,1890,1851,1555,1113,783,629,412,219
2019-11-06,126,63,51,59,111,540,1512,1508,1400,1365,1484,1375,1437,1656,1485,1714,1873,1762,1631,1100,747,693,488,294
2019-11-07,107,58,40,58,115,550,1545,1289,1390,1289,1252,1298,1259,1538,1534,1738,1779,1746,1621,1195,838,896,581,361
2019-11-08,164,69,50,66,130,526,1431,1483,1474,1225,1221,1295,1491,1560,1758,1702,1924,1748,1589,1356,800,649,753,696
2019-11-09,320,171,111,80,75,192,359,452,747,933,1054,1231,1382,1431,1470,1370,1401,1468,1277,947,754,607,770,594
2019-11-10,395,267,150,104,111,124,144,133,206,394,661,800,920,1030,1105,1099,1270,1249,1069,845,658,615,539,281
2019-11-11,93,47,40,51,110,577,1585,1532,1410,1212,1213,1395,1285,1588,1556,1739,1788,1734,1538,1077,735,631,438,267
2019-11-12,97,60,44,54,107,546,1470,1422,1292,1297,1335,1263,1308,1448,1605,1652,1658,1832,1602,1180,846,658,555,381
2019-11-13,128,61,34,49,116,546,1505,1496,1348,1343,1224,1243,1299,1609,1559,1738,1689,1789,1599,1243,721,716,474,237
2019-11-14,126,57,45,64,100,581,1494,1492,1366,1369,1326,1265,1276,1462,1593,1773,1641,1722,1749,1209,731,670,621,352
2019-11-15,175,66,38,58,114,568,1373,1590,1485,1290,1130,1311,1523,1738,1745,1798,1744,1776,1684,1244,807,758,620,533
2019-11-16,312,170,123,82,94,226,325,474,727,847,906,1138,1335,1527,1540,1409,1419,1467,1270,1060,779,544,602,540
2019-11-17,378,267,170,127,118,161,122,121,201,466,596,717,910,1021,1055,1224,1188,1293,1042,1103,693,578,424,230
2019-11-18,96,60,35,62,130,578,1576,1494,1437,1240,1365,1284,1312,1442,1448,1656,1927,1703,1919,1146,706,634,389,198
2019-11-19,137,67,58,51,113,585,1548,1551,1487,1188,1225,1289,1375,1569,1521,1652,1813,1878,1607,1092,820,739,516,258
2019-11-20,146,53,42,57,108,571,1542,1499,1328,1229,1365,1315,1458,1586,1584,1761,1899,1926,1645,1132,824,745,537,263
2019-11-21,156,72,43,63,108,577,1550,1590,1417,1255,1178,1217,1394,1575,1617,1754,1791,1855,1809,1460,991,757,691,347
2019-11-22,148,72,64,58,125,545,1410,1508,1389,1271,1426,1371,1499,1678,1580,1926,1696,1877,1815,1251,823,725,859,527
2019-11-23,392,188,142,95,92,211,338,473,641,914,1105,1285,1326,1506,1445,1437,1560,1494,1396,1087,792,665,837,668
2019-11-24,433,288,178,126,89,148,134,129,267,577,710,874,1058,1110,1286,1383,1391,1365,1304,1202,931,652,404,211
2019-11-25,116,57,46,66,136,613,1602,1446,1438,1268,1341,1364,1384,1487,1537,1685,1932,1980,1579,1047,726,696,378,210
2019-11-26,111,62,46,51,124,581,1556,1541,1416,1368,1399,1255,1355,1575,1535,1831,1118,1395,1648,1164,784,665,459,217
2019-11-27,135,63,49,59,121,580,1456,1489,1481,1438,1332,1275,1545,1567,1586,1766,1664,1786,1647,1266,835,723,531,281
2019-11-28,157,68,45,60,111,591,1496,1456,1385,1439,1299,1436,1447,1591,1594,1758,1793,1720,1787,1337,953,825,646,300
2019-11-29,177,95,53,68,110,550,1406,1506,1457,1339,1408,1380,1651,1649,1870,1759,1814,2029,1685,1300,1016,915,754,754
2019-11-30,401,215,137,104,85,202,366,501,660,968,1167,1302,1450,1535,1674,1610,1447,1528,1353,1124,965,729,618,482
2019-12-01,398,254,214,161,145,165,132,116,209,477,653,858,958,1196,1123,1137,1321,1374,1085,1012,780,561,520,205
2019-12-02,110,76,41,58,112,579,1503,1566,1346,1420,1257,1326,1309,1519,1441,1769,1790,1882,1624,1116,816,710,585,454
2019-12-03,115,62,48,66,96,578,1513,1539,1467,1424,1297,1300,1404,1522,1604,1695,1884,1851,1597,1254,872,804,609,260
2019-12-04,122,56,35,58,98,554,1481,1541,1273,1332,1278,1230,1395,1760,1642,1754,1654,1831,1642,1195,949,938,696,339
2019-12-05,129,67,44,73,107,562,1469,1415,1462,1288,1358,1302,1414,1625,1590,1791,1770,1930,1599,1196,887,818,717,325
2019-12-06,186,84,60,65,123,528,1357,1507,1447,1210,1266,1312,1525,1768,1727,1867,1835,1978,1664,1243,908,895,877,619
2019-12-07,376,239,139,89,73,240,347,512,644,1070,1247,1582,1403,855,845,791,826,843,706,574,464,394,358,319
2019-12-08,239,155,107,97,57,88,86,58,110,208,329,351,432,456,555,634,569,509,444,513,470,365,263,138
2019-12-09,65,45,30,49,100,489,1351,1455,1214,1055,1197,1191,1320,1567,1401,1738,1704,1836,1567,1092,726,632,537,225
2019-12-10,122,77,51,61,118,547,1449,1607,1406,1308,1289,1327,1347,1675,1629,1767,1818,1914,1684,1255,907,778,578,283
2019-12-11,156,57,51,61,119,563,1511,1550,1383,1255,1228,1249,1339,1468,1531,1566,1739,1792,1572,1154,904,732,632,580
2019-12-12,169,85,60,65,105,581,1463,1548,1442,1238,1337,1357,1483,1591,1629,1682,1749,1935,1646,1214,846,808,605,422
2019-12-13,206,90,70,90,118,520,1303,1488,1403,1273,1223,1318,1553,1706,1701,1810,1782,1781,1515,1243,931,823,927,707
2019-12-14,396,284,193,118,114,223,323,408,620,904,1296,1417,1444,1460,1496,1422,1575,1615,1341,1098,850,684,629,541
2019-12-15,395,333,179,134,110,140,110,110,182,397,574,800,1012,989,1153,1172,1151,1103,914,785,703,554,367,205
2019-12-16,102,68,39,55,116,567,1430,1540,1463,1273,1329,1348,1374,1544,1488,1725,1830,1859,1729,1193,831,640,475,233
2019-12-17,107,51,42,57,101,555,1465,1529,1523,1325,1293,1329,1479,1578,1648,1734,1824,1950,1618,1250,898,750,577,301
2019-12-18,127,64,46,71,106,522,1343,1552,1508,1188,1048,984,1226,1661,1665,1769,1823,1863,1686,1269,966,776,527,339
2019-12-19,180,75,45,44,92,399,844,1169,1193,1102,942,1204,1118,1567,1655,1406,1307,1262,1318,922,839,645,387,352
2019-12-20,225,117,75,53,113,441,1131,1467,1386,1244,1314,1249,1366,1462,1399,1137,1337,1450,1268,790,838,513,478,510
2019-12-21,416,242,161,122,112,225,248,567,816,976,1147,1410,1415,1512,1585,1536,1604,1502,1285,1030,948,662,734,540
2019-12-22,411,269,170,119,89,160,135,108,177,340,656,866,958,1001,1248,1130,1077,974,746,868,619,556,496,241
2019-12-23,124,100,58,66,90,284,576,834,855,942,1122,1228,1410,1415,1441,1518,1530,1414,1252,1019,787,542,458,266
2019-12-24,199,132,83,89,81,186,304,347,428,577,655,765,929,1038,1057,865,782,664,449,270,335,411,384,420
2019-12-25,231,137,71,54,51,101,109,70,107,250,441,760,900,943,854,776,752,834,623,555,481,531,446,359
2019-12-26,195,112,86,62,68,116,98,77,127,203,624,987,1085,1029,1061,905,1096,993,854,620,590,528,616,265
2019-12-27,151,112,62,51,89,254,452,566,616,860,955,974,927,1193,955,1180,1261,1515,1283,1025,718,546,573,349
2019-12-28,270,173,111,68,84,159,212,386,424,763,851,1117,1370,1315,1393,1406,1322,1223,1079,875,693,505,714,397
2019-12-29,268,180,144,95,78,112,121,94,156,259,434,777,803,988,1183,1184,928,1074,791,606,461,426,362,232
2019-12-30,143,93,60,49,82,241,494,615,666,840,959,1148,1356,1392,1471,1573,1543,1470,1401,1026,776,521,514,473
2019-12-31,237,113,53,50,60,152,239,327,365,571,568,745,742,709,855,762,735,672,744,593,379,418,403,317
2023-01-01,165,386,317,260,165,151,150,85,66,145,243,415,644,771,806,744,753,915,658,494,407,337,208,175
2023-01-02,98,63,43,67,99,450,806,1203,996,820,966,1180,1071,1128,1461,1541,1445,1514,1067,792,525,424,351,183
2023-01-03,118,64,48,72,94,487,781,1254,1192,951,943,990,1285,1235,1747,1485,1554,1650,1188,891,612,452,395,206
2023-01-04,115,65,58,67,96,495,814,1236,1150,1008,919,1148,1117,1269,1461,1479,1675,1668,1319,933,553,459,693,240
2023-01-05,145,68,63,65,87,509,795,1163,1137,1084,1030,1055,1136,1261,1397,1499,1693,1674,1375,969,665,560,566,298
2023-01-06,201,121,81,67,55,151,157,169,231,384,429,632,745,911,1076,1105,1134,1147,1009,819,631,479,460,349
2023-01-07,255,155,90,81,73,182,197,242,396,692,867,1064,1212,1388,1423,1351,1302,1271,1195,928,778,540,478,355
2023-01-08,328,229,162,139,96,131,113,109,162,334,466,631,736,898,1046,939,1150,1075,835,680,562,416,295,194
2023-01-09,94,56,40,73,97,616,1379,2101,1912,1349,1177,1054,1146,1399,1451,1686,1961,1910,1446,891,580,486,428,213
2023-01-10,101,58,39,72,111,627,1560,2288,2084,1359,1064,1103,1196,1544,1457,1795,1982,2041,1513,942,662,561,377,225
2023-01-11,103,63,58,65,95,580,1441,2103,2037,1380,1155,1142,1225,1487,1508,1793,1983,2083,1476,1020,674,581,395,241
2023-01-12,125,59,39,64,118,632,1413,2185,1963,1344,1174,1232,1277,1511,1510,1790,2089,2105,1570,997,699,559,551,282
2023-01-13,137,84,49,63,108,563,1280,1958,1812,1257,1140,1175,1407,1601,1737,1874,1766,1820,1409,996,718,645,784,511
2023-01-14,309,152,104,85,89,249,265,409,588,797,1029,1076,1192,1442,1476,1277,1573,1428,1300,1036,745,565,530,533
2023-01-15,367,241,154,152,86,126,126,117,179,360,546,705,883,984,1118,1063,955,1021,884,729,610,440,387,189
2023-01-16,87,50,37,72,94,624,1469,2190,1884,1396,1267,1092,1153,1393,1394,1716,2066,2039,1492,910,626,498,412,211
2023-01-17,110,39,47,71,106,615,1472,2494,2366,1576,1183,1158,1239,1583,1460,1843,2232,2130,1611,1075,697,636,434,355
2023-01-18,109,57,49,55,110,588,1424,2305,2188,1463,1182,1146,1262,1522,1452,1828,2178,2244,1640,1124,746,624,518,225
2023-01-19,130,53,43,66,104,624,1478,2192,2154,1405,1202,1100,1394,1472,1558,1923,2250,2299,1641,1065,699,635,649,364
2023-01-20,141,65,61,81,128,584,1333,1996,1777,1326,1253,1225,1440,1736,1804,2121,1821,1927,1477,1066,675,545,734,501
2023-01-21,290,165,86,72,89,231,336,293,521,677,875,1048,1157,1280,1276,1223,1230,1200,1150,875,693,556,687,386
2023-01-22,298,201,147,94,81,138,128,110,194,387,577,776,833,937,1103,1050,1109,937,827,685,662,505,286,184
2023-01-23,86,60,36,57,113,589,1462,2148,1859,1400,1143,1095,1275,1416,1430,1693,2085,2059,1534,922,610,515,370,201
2023-01-24,88,58,50,84,101,615,1466,2275,1608,1451,1167,1093,1264,1514,1474,1832,2283,2115,1532,953,632,589,585,290
2023-01-25,121,63,36,70,127,595,1480,2332,2012,1395,1193,1135,1280,1492,1608,1884,2208,2045,1655,982,682,549,493,238
2023-01-26,147,58,38,74,135,590,1401,2228,1929,1382,1190,1195,1201,1500,1530,1757,2095,2096,1589,1075,739,706,666,294
2023-01-27,156,81,47,75,127,566,1327,1974,1634,1265,1197,1391,1490,1682,1616,1861,1800,1713,1483,1122,746,766,623,448
2023-01-28,250,199,94,83,96,238,297,395,618,831,1018,1163,1359,1474,1520,1425,1368,1364,1288,1054,798,631,576,452
2023-01-29,361,280,203,181,109,136,134,131,230,402,632,819,863,1084,1119,1124,968,1108,972,823,627,487,491,384
2023-01-30,114,46,41,67,103,573,1430,2043,1712,1343,1155,1141,1193,1415,1430,1689,1733,1795,1588,1002,652,527,413,236
2023-01-31,114,62,49,73,107,602,1443,2261,1947,1502,1192,1129,1270,1494,1596,1691,1942,1900,1764,1022,741,538,399,231
2023-02-01,120,50,62,68,119,605,1425,2201,2090,1391,1209,1172,1321,1527,1571,1799,1965,1975,1659,1049,654,620,455,293
2023-02-02,137,62,57,81,113,616,1431,2174,2012,1374,1178,1162,1280,1501,1561,1791,2191,2177,1623,1143,722,623,541,260
2023-02-03,135,67,64,82,117,594,1303,1955,1752,1262,1191,1221,1413,1660,1791,1965,1916,1790,1531,1021,753,684,652,495
2023-02-04,323,199,130,103,99,238,306,410,529,865,1037,1105,1351,1446,1417,1511,1347,1429,1304,1169,1100,703,630,436
2023-02-05,367,257,182,123,89,163,139,130,196,405,542,717,1140,1205,1061,1082,1131,1041,934,847,606,430,349,205
2023-02-06,107,48,50,70,101,624,1450,2225,1937,1300,1191,1084,1196,1439,1441,1716,1849,1871,1553,940,636,755,416,210
2023-02-07,102,71,59,79,116,619,1442,2326,1968,1451,1175,1152,1224,1593,1531,1704,2100,2144,1619,971,705,551,489,258
2023-02-08,119,66,44,74,111,602,1429,2264,1983,1350,1164,1080,1255,1707,1628,1745,2012,1939,1617,1053,732,627,530,293
2023-02-09,123,55,52,84,114,619,1412,2142,2051,1270,1160,1130,1288,1506,1525,1740,1984,1946,1614,1110,692,611,516,261
2023-02-10,126,65,56,90,125,537,1248,1934,1669,1295,1151,1288,1446,1561,1724,1819,1772,1730,1395,1078,745,642,578,427
2023-02-11,288,182,86,89,74,200,324,404,650,900,1058,1236,1554,1566,1642,1430,1365,1524,1191,954,759,592,709,427
2023-02-12,307,194,149,105,82,156,130,124,199,415,602,725,902,1080,1041,947,1078,1135,915,765,637,514,307,197
2023-02-13,106,48,51,70,148,595,1388,2135,1768,1378,1157,1133,1291,1463,1616,1681,1908,1808,1531,970,615,504,366,226
2023-02-14,93,73,61,80,114,612,1438,2259,2153,1374,1151,1141,1228,1394,1522,1782,1994,2079,1670,1095,820,682,574,310
2023-02-15,136,63,58,71,116,623,1416,2095,2020,1382,1208,1098,1307,1483,1476,1707,2033,2073,1516,1044,755,601,616,300
2023-02-16,144,66,61,85,107,627,1369,2201,1925,1287,1243,1127,1321,1450,1586,1815,1915,1865,1683,1031,685,574,441,269
