;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
13.02.2008;476;298;214;258;410;723;1452;2968;3440;3543;3320;3052;3068;3030;3200;3607;4457;4884;4557;3144;1981;1528;1209;846
14.02.2008;508;302;226;285;426;691;1639;3013;3450;3483;3179;3118;3191;3219;3525;3845;4857;5354;4913;3523;2242;1565;1344;990
15.02.2008;680;374;241;321;425;795;1634;2802;3251;3202;3215;3390;3984;4643;5455;5945;6219;6098;5805;4466;2985;2022;1582;1228
16.02.2008;785;515;485;644;853;1239;3144;5366;5225;4951;4957;5090;5124;5173;5432;5448;5125;3774;3020;2270;1419;1077;906;837
17.02.2008;668;422;269;222;292;368;1081;2987;3122;3501;4493;4563;4815;5156;3841;3007;3081;2829;2446;1830;1493;1213;915;713
18.02.2008;571;366;264;306;488;872;1571;2665;2959;2874;2910;2775;2921;2969;2912;3283;3998;4606;4313;2986;1745;1263;956;662
19.02.2008;445;255;203;289;373;669;1567;2864;3364;3259;3256;3093;2916;2697;2940;3191;4315;4767;4199;2980;1845;1330;1050;706
20.02.2008;511;240;252;290;385;730;1631;2841;3391;3405;3265;3069;2889;2875;3053;3336;4310;5057;4570;3218;2161;1488;1193;1051
21.02.2008;519;296;226;283;392;695;1611;2828;3196;2787;2812;2743;3034;3169;3197;3879;4694;5009;4748;3624;2352;2248;1744;981
22.02.2008;638;359;295;355;474;812;1756;3132;3347;3391;3554;4085;4578;5269;5800;5739;6438;6331;5973;5317;3253;2388;1948;1666
23.02.2008;1103;795;694;791;1459;2503;3675;5446;5464;4998;4948;4821;4873;4890;4941;4984;4484;3725;3263;2197;1579;1115;906;896
24.02.2008;689;413;281;281;304;409;1140;2740;2950;4128;5662;6248;5815;5211;4219;3145;2759;2589;2262;2292;1983;1354;1072;769
25.02.2008;499;334;311;342;536;882;1758;2922;3081;3072;3057;2649;2639;2571;2673;3059;4033;4451;4212;2548;1797;1171;910;702
26.02.2008;525;245;230;241;365;668;1539;2775;3064;3044;2892;2671;2682;2788;2890;3250;4137;4764;4023;3001;1877;1315;1130;791
27.02.2008;410;288;256;277;449;725;1601;2608;2912;2900;2601;2608;2688;2857;3102;3627;4376;5159;4529;3173;2028;1452;1069;1123
28.02.2008;1272;392;270;274;455;847;1786;2990;3322;3152;3215;3052;3001;2988;;3809;4706;5096;4711;3346;2338;1688;1462;1060
29.02.2008;549;335;274;327;413;739;1649;2579;2856;2898;2835;3147;3755;4363;4829;5436;5611;5675;5515;4367;2775;1888;1535;1277
01.03.2008;916;581;436;527;680;1319;2211;3175;2919;2995;3496;3701;4061;4465;4979;4931;4587;5005;3370;1935;1456;935;857;781
02.03.2008;589;447;281;231;241;374;625;942;1281;2219;3090;3814;4246;4446;4204;3601;3207;3065;2465;1824;1419;1168;928;736
03.03.2008;488;365;269;334;559;854;1718;2548;2704;2669;2814;2547;2649;2664;2998;3210;4066;4685;4318;2886;1806;1226;919;630
04.03.2008;454;290;211;298;411;658;1504;2526;2728;2377;2503;2429;2548;2619;2736;3201;4195;4846;4386;2941;1798;1356;1034;800
05.03.2008;447;300;239;267;431;708;1531;2736;2856;2585;2583;2571;2739;2854;3022;3448;4423;4992;4593;3358;2000;1480;1213;850
06.03.2008;558;325;296;311;459;802;1771;3318;3599;3284;3274;3134;3152;3218;3334;3805;4473;5280;4709;3445;2268;1610;1303;1008
07.03.2008;583;341;282;355;505;818;1777;3053;3464;3370;3222;3374;3933;4428;4781;5267;5637;6014;5590;4384;2924;2057;1539;1266
08.03.2008;865;569;442;582;912;1667;3267;4632;4804;4934;5093;5409;5443;5185;5252;5205;5604;5376;3171;2222;1527;1144;893;763
09.03.2008;607;407;286;259;268;418;1172;2626;2952;3359;4661;5314;5081;4658;4127;3270;2724;2703;2282;1881;1470;1258;1015;718
10.03.2008;531;393;301;334;518;880;1926;2828;3147;3078;2981;2697;2770;2793;2799;3165;4050;4607;4186;2913;1725;1253;1094;709
11.03.2008;432;272;259;303;438;679;1538;2548;2834;2690;2381;2427;2790;2700;3107;3428;4396;4803;4446;2955;1908;1469;1112;797
12.03.2008;474;270;228;271;423;699;1594;2745;2861;2758;2521;2719;2669;3107;3190;3499;4488;4886;4404;3121;2062;1516;1315;1442
13.03.2008;751;368;266;351;470;840;1798;2846;3108;3011;2817;2796;2869;3167;3250;3877;4611;5235;4779;3543;2254;1776;1460;1023
14.03.2008;607;413;303;359;503;838;1683;2684;2763;2928;3162;3430;4110;4638;4984;5674;5486;5383;5017;4352;3438;2723;2002;1615
15.03.2008;1212;763;720;898;1530;2780;4162;5290;5200;5130;5237;5195;4900;5191;5246;5143;4929;3930;2980;2282;1677;1204;949;990
16.03.2008;717;499;399;333;416;674;1066;1726;2292;2990;4229;4780;4984;4583;3934;3598;3529;2919;2433;2066;1507;1163;1079;868
17.03.2008;530;382;325;364;559;940;1911;2747;2936;2838;2867;2956;3052;3035;3313;3374;4203;4806;4323;3102;1931;1284;1036;643
18.03.2008;453;277;277;303;476;759;1574;2553;2997;2943;2957;3000;2846;3154;3376;3696;4289;4976;4508;3342;2141;1490;1138;902
19.03.2008;522;332;318;373;585;862;1790;2984;3368;3436;3335;3180;3331;3582;4315;4269;5075;5341;4647;3468;2812;2077;1662;2062
20.03.2008;1149;606;420;567;734;1332;2292;3343;3508;3967;3894;4395;4652;4569;5458;5538;5729;5638;5745;4951;4096;3177;2706;2198
21.03.2008;1491;1035;824;739;924;1225;2211;3136;4069;4215;4689;4771;4607;3989;3699;3727;3027;2499;2156;1682;1227;965;789;731
22.03.2008;587;468;434;534;789;1534;2975;4418;4512;4871;5502;5713;5248;5356;4554;3752;3060;2854;2766;1861;1332;902;765;669
23.03.2008;451;299;201;208;259;358;644;1272;1739;2598;3836;4490;4032;3403;3113;2396;1994;2103;1932;1410;1045;780;635;452
24.03.2008;361;213;147;190;196;322;710;1539;1953;2662;3639;4179;3837;3622;3430;2868;2596;2487;2238;1889;1539;1257;930;795
25.03.2008;453;341;237;282;412;769;1548;2566;2746;2534;2886;3046;3201;3253;3103;3335;3985;4511;3895;2693;1699;1126;871;618
26.03.2008;405;263;186;228;398;670;1449;2473;2694;2851;2901;2820;2731;2797;2870;3371;4001;4398;3978;2925;1761;1185;923;808
27.03.2008;543;299;243;305;473;681;1648;2959;3272;3182;3340;3000;2916;3077;3290;3539;4260;5067;4416;3337;2131;1455;1139;928
28.03.2008;537;342;304;351;522;761;1529;2925;3385;3501;3420;3352;3754;4041;4351;4629;4909;4940;4484;3504;2527;1742;1253;1142
29.03.2008;775;486;421;458;620;993;2187;3936;3853;3957;4629;4598;4436;4133;3743;3197;2772;2555;2271;1991;1448;993;789;790
30.03.2008;;;;;;;;;;;;;;;;;;;;;;;;
31.03.2008;522;382;296;358;506;893;1801;2621;2829;2911;2666;2514;2488;2623;2720;3014;3966;4689;4314;3004;1967;1308;1038;940
01.04.2008;437;276;234;279;413;658;1449;2538;2864;2670;2511;2532;2532;2750;2794;3261;4162;4588;4409;3002;2010;1465;1055;860
02.04.2008;471;313;233;288;416;713;1506;2349;2636;2693;;2505;2596;2851;2888;3442;4208;4731;4656;3203;2183;1507;1191;870
03.04.2008;567;286;255;284;415;725;1452;2210;2515;2766;2505;2568;2271;2859;3072;3629;4545;4883;4816;3623;2502;1616;1423;1761
04.04.2008;957;403;315;340;455;744;1412;2428;2806;2682;2698;2856;3630;3978;4213;4657;5053;4986;4880;3821;2676;1732;1509;1187
05.04.2008;845;529;370;367;457;661;1224;2258;2632;2734;2959;2988;3202;3282;2970;2468;2446;2720;2647;1867;1431;973;890;934
06.04.2008;724;464;295;278;232;243;457;799;1105;1567;1990;2458;2465;2386;2684;2322;2522;2572;2317;2440;1968;1263;1063;845
07.04.2008;639;393;303;368;446;802;1667;2569;2690;2785;2429;2366;2562;2541;2681;2940;4027;4674;4195;2983;1942;1364;1113;714
08.04.2008;401;275;210;245;400;656;1488;2502;2860;2901;2808;2587;2682;2663;2904;3274;4142;4869;4525;3108;1901;1468;1305;849
09.04.2008;466;209;209;378;408;688;1526;2513;2856;3010;2192;3049;2884;3004;2751;3597;4284;4853;4523;3364;2037;1466;1250;944
10.04.2008;474;337;239;331;447;659;1628;2664;2993;2970;2999;2666;2850;3145;3149;3518;3910;4851;4818;3623;2226;1598;1367;1138
11.04.2008;626;381;302;316;447;692;1504;2472;2850;2880;2878;3200;3712;4151;4398;4926;5006;5037;4415;3657;2499;1620;1414;1300
12.04.2008;917;589;416;391;424;588;1028;1538;2135;2600;3031;3112;3029;2889;3107;2957;2825;2589;2484;1976;1459;1048;824;846
13.04.2008;680;432;293;235;257;370;716;1275;1534;2557;3574;3960;3444;3183;2881;2555;2413;2526;2397;2527;2148;1424;1095;859
14.04.2008;503;390;268;362;537;867;1757;2622;2647;2853;2721;2520;2607;2723;2796;3121;4008;4587;4063;2985;1787;1252;1031;762
15.04.2008;422;284;216;281;378;680;1375;2109;2636;2732;2521;2503;2583;2673;2732;3270;4167;4767;4506;3178;2003;1344;1179;880
16.04.2008;530;284;238;309;414;674;1539;2502;2804;2707;2522;2566;2668;2824;3051;3319;4391;4875;4624;3312;2082;1495;1205;921
17.04.2008;483;329;287;276;388;735;1535;2530;2721;2823;2910;2961;3037;2959;3152;3827;4470;5151;4885;3504;2388;1711;1521;1218
18.04.2008;655;399;342;325;471;670;1542;2409;2698;2847;2948;3045;3668;4100;4478;4972;5143;5120;4494;3669;2603;1874;1478;1322
19.04.2008;824;591;429;383;454;664;1181;1682;2239;2701;3172;3207;3211;3215;3028;2935;2722;2589;2461;2063;1384;915;918;906
20.04.2008;672;426;375;260;268;414;769;1194;2108;3523;4786;4944;4173;3712;3181;2639;2500;2586;2400;2234;1860;1353;1131;1136
21.04.2008;606;388;322;356;544;868;1842;2717;2814;2925;2631;2595;2579;2649;2667;3229;4037;4692;4225;3012;1758;1274;1066;677
22.04.2008;405;257;244;255;402;684;1528;2389;2525;2750;2656;2388;2501;2792;2871;3260;4212;4863;4314;3143;2103;1457;1204;953
23.04.2008;514;315;301;329;474;731;1572;2576;2883;2969;2806;2707;2814;2920;3066;3495;4355;4847;4535;3311;2192;1678;1269;941
24.04.2008;556;386;306;290;457;751;1590;2594;2892;3070;3128;2821;2821;3086;3086;3592;3958;4121;3823;4185;2777;1628;1455;1723
25.04.2008;1105;442;302;350;541;765;1596;2319;2620;3016;3059;2577;3552;4518;4949;5054;5335;5134;4496;3785;2811;1890;1705;1436
26.04.2008;1043;685;505;487;671;937;1468;2139;3108;4003;4341;3014;4142;4177;3714;3478;3478;3060;2584;2295;1662;1186;963;820
27.04.2008;689;463;324;300;322;435;829;1339;2516;4050;5116;4905;4284;3845;3344;2764;2740;2859;2682;2602;2224;1652;1125;918
28.04.2008;620;429;308;405;626;954;1902;2554;2612;2885;3177;3118;3016;2865;2960;3283;4173;4737;4207;3192;1918;1371;1044;769
29.04.2008;434;317;254;285;400;726;1554;2491;2707;2733;2560;2803;2963;2819;3112;3591;4359;5039;4782;3537;2471;1785;1409;986
30.04.2008;668;410;370;426;600;921;1780;2825;3044;3433;3567;3718;3890;4238;4175;4077;4711;6015;5602;4964;4545;2797;2407;2054
01.05.2008;1439;932;725;677;852;1236;1939;2655;3389;4295;4931;4926;4686;4148;3769;3046;2696;2427;2075;1598;1205;892;865;646
02.05.2008;538;413;303;377;486;729;1387;2045;2591;3164;3609;3649;3716;3598;2433;3487;3973;4277;4035;2946;2433;1596;1156;1023
03.05.2008;695;487;372;379;508;693;1247;1800;2847;4157;4977;4667;4144;3925;3237;3280;2815;2701;2460;1979;1722;1127;935;807
04.05.2008;618;468;317;242;325;478;829;1260;2390;3933;4759;4915;4372;3901;3384;3264;3037;3118;2797;2488;2033;1746;1417;1119
05.05.2008;797;465;364;394;579;962;1896;2790;2728;3017;3356;3031;2917;3055;3070;3454;4371;5014;4786;3335;2103;1366;1083;803
06.05.2008;499;273;245;253;427;740;1717;2715;2934;3189;3185;2958;3107;3075;2567;2821;4654;4785;5046;3945;2332;1603;1323;907
07.05.2008;569;338;267;330;461;781;1728;2866;2894;3007;2877;3204;3393;3453;3476;3849;4502;5213;4995;3745;2780;1775;1889;1668
08.05.2008;798;450;360;392;528;917;1902;3012;3203;3170;3613;3652;3670;3774;3945;4320;5008;5309;5268;4109;2812;2015;1658;1320
09.05.2008;885;570;447;552;751;1161;2088;2946;3265;3936;4234;4402;4922;5308;5181;5339;5361;5559;5228;4474;3389;2723;2526;2261
10.05.2008;1777;1534;1535;1766;2245;2970;3389;3723;4137;4299;4482;4633;4394;4275;4010;3634;3038;2705;2609;2108;1743;1286;1097;913
11.05.2008;812;598;517;558;812;1216;1732;2318;3608;5257;5648;5593;5159;4561;3323;2494;2460;2249;1933;1664;1340;1084;881;731
12.05.2008;772;451;267;318;402;649;943;1507;2709;4439;5238;5086;4223;3298;2898;2431;2231;2241;2095;1899;1686;1492;1132;925
13.05.2008;587;446;346;421;665;1102;2050;2880;3046;3444;3910;3751;3458;3302;3404;3409;4255;4431;4097;3229;2007;1386;1135;882
14.05.2008;526;323;289;387;581;996;1594;2262;2530;3020;3866;3716;3573;3615;3401;3670;4358;4571;4286;3031;2060;1520;1210;1149
15.05.2008;610;370;300;388;660;945;1901;2926;3190;3507;3678;3548;3555;3466;3192;3744;4440;4880;4373;3322;2315;1674;1365;927
16.05.2008;647;463;381;475;676;1012;1807;2590;2843;3187;3393;3611;4010;4378;4724;4813;5021;4860;4374;3569;2647;1875;1484;1316
17.05.2008;1069;830;815;934;1258;1765;2312;2881;3699;3477;3521;4421;4263;4107;4098;3862;2905;2550;2449;2061;1508;1096;908;831
18.05.2008;610;484;319;380;499;631;882;1194;1693;2498;3470;3712;2945;3699;3707;3315;2609;2543;2240;1789;1481;1193;975;838
19.05.2008;599;428;338;409;615;933;1936;2639;2732;2820;2884;3027;3075;3024;3049;3198;3960;4522;4058;2975;1889;1230;967;776
20.05.2008;451;327;272;299;486;740;1639;2522;2873;2846;3030;2939;2988;3041;2971;3391;4133;4239;4260;3535;2214;1464;1228;929
21.05.2008;529;390;371;444;686;898;1758;2659;2990;3342;3480;3666;3818;3996;4178;4765;5476;5833;5803;4873;3382;2529;1753;1418
22.05.2008;1118;706;676;698;802;1226;1844;2479;3477;4408;5141;5392;4769;3986;3578;3028;2300;2100;1922;1479;1142;888;812;779
23.05.2008;635;509;404;513;609;806;1432;1940;2408;3062;3683;3735;3616;3733;4023;4093;3954;4067;3614;2866;2173;1567;1240;1121
24.05.2008;789;561;505;588;676;950;1359;2123;3418;4496;4462;4461;4226;4125;3491;2985;2627;2294;2138;1740;1447;1098;863;1163
25.05.2008;1661;781;337;315;401;465;722;1248;2153;3324;4248;4342;3630;4072;3358;2954;2926;2862;2721;2119;1904;1687;1428;956
26.05.2008;769;446;406;354;605;971;1994;2762;2825;3113;2969;2987;2978;2781;2987;3229;4112;4509;4513;2896;1881;1307;1135;790
27.05.2008;487;317;255;293;459;837;1750;2684;2836;3419;3319;3158;2999;3004;3035;3361;4042;4575;4283;2964;1977;1524;1239;1159
28.05.2008;554;365;261;289;491;814;1745;2777;3005;3159;2977;2858;2900;3082;3480;3625;4325;4910;4471;3042;2060;1529;1299;1010
29.05.2008;539;372;249;322;467;817;1753;2670;3108;3199;3247;3079;3160;3249;3390;3643;4578;5005;4490;3445;2289;1601;1276;1527
30.05.2008;772;462;329;389;553;888;1758;2596;2861;3312;3543;3576;4028;4311;4895;5125;5275;4941;4571;3548;2616;1913;1604;1540
31.05.2008;1172;799;646;679;834;1180;1752;2700;3757;4448;4784;4736;4475;4030;3456;3269;2995;2722;2316;1885;1492;1106;1034;1156
