,0
Neujahr,2009-01-01
Karfreitag,2009-04-10
Ostermontag,2009-04-13
Erster Mai,2009-05-01
Christi Himmelfahrt,2009-05-21
Pfingstmontag,2009-06-01
Tag der Deutschen Einheit,2009-10-03
Erster Weihnachtstag,2009-12-25
Zweiter Weihnachtstag,2009-12-26
Heilige Drei Könige,2009-01-06
Fronleichnam,2009-06-11
Allerheiligen,2009-11-01
