,0
Neujahr,2022-01-01
Karfreitag,2022-04-15
Ostermontag,2022-04-18
Erster Mai,2022-05-01
Christi Himmelfahrt,2022-05-26
Pfingstmontag,2022-06-06
Tag der Deutschen Einheit,2022-10-03
Erster Weihnachtstag,2022-12-25
Zweiter Weihnachtstag,2022-12-26
Internationaler Frauentag,2022-03-08
