,0
Neujahr,2004-01-01
Karfreitag,2004-04-09
Ostermontag,2004-04-12
Erster Mai,2004-05-01
Christi Himmelfahrt,2004-05-20
Pfingstmontag,2004-05-31
Tag der Deutschen Einheit,2004-10-03
Erster Weihnachtstag,2004-12-25
Zweiter Weihnachtstag,2004-12-26
Reformationstag,2004-10-31
Buß- und Bettag,2004-11-17
