,0
Neujahr,2023-01-01
Karfreitag,2023-04-07
Ostermontag,2023-04-10
Erster Mai,2023-05-01
Christi Himmelfahrt,2023-05-18
Pfingstmontag,2023-05-29
Tag der Deutschen Einheit,2023-10-03
Erster Weihnachtstag,2023-12-25
Zweiter Weihnachtstag,2023-12-26
Heilige Drei Könige,2023-01-06
Fronleichnam,2023-06-08
Allerheiligen,2023-11-01
