cluster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
26,629.6666666666666,373.3333333333333,315.0,365.0,524.6666666666666,853.3333333333334,1806.6666666666667,2954.0,3155.0,3204.3333333333335,3275.0,3345.3333333333335,3464.6666666666665,3603.0,3912.0,4146.0,4861.666666666667,5287.666666666667,4970.0,3774.0,2801.3333333333335,1955.6666666666667,1736.3333333333333,1683.3333333333333
27,515.0,334.5,276.5,311.0,461.0,710.0,1495.5,2844.0,3266.0,3418.5,3507.5,3441.0,3750.5,4127.5,4520.5,4915.0,5173.0,5295.0,4755.5,3683.0,2494.5,1670.0,1218.0,1054.0
28,793.6666666666666,425.0,328.5,365.8333333333333,523.8333333333334,795.1666666666666,1603.1666666666667,2469.0,2779.6666666666665,2987.3333333333335,3086.5,3144.1666666666665,3766.6666666666665,4239.333333333333,4609.5,4924.5,5138.833333333333,5013.0,4538.333333333333,3674.8333333333335,2642.0,1817.3333333333333,1532.3333333333333,1350.1666666666667
29,571.0,396.5,301.5,353.0,491.0,795.0,1645.5,2633.0,2887.5,2962.0,3147.0,3584.5,4307.0,4926.5,5386.0,5871.5,5267.5,5499.0,5241.5,4940.5,3646.5,2566.5,1968.0,1626.5
30,638.0,359.0,295.0,355.0,474.0,812.0,1756.0,3132.0,3347.0,3391.0,3554.0,4085.0,4578.0,5269.0,5800.0,5739.0,6438.0,6331.0,5973.0,5317.0,3253.0,2388.0,1948.0,1666.0
31,574.4,347.0,264.6,323.8,462.0,757.6,1649.6,2777.6,3136.0,3163.6,3057.8,3318.6,3893.8,4489.2,5004.6,5610.6,5898.8,5871.8,5573.2,4365.4,2837.0,1926.2,1503.0,1213.6
32,592.0,304.0,258.0,331.0,436.0,713.0,1710.0,3501.0,4179.0,4019.0,4092.0,3809.0,4305.0,4538.0,4905.0,5338.0,5800.0,5452.0,5043.0,4080.0,2897.0,1923.0,1583.0,1263.0
33,169.0,433.0,452.0,332.0,236.0,208.0,302.0,754.0,1076.0,1235.0,1974.0,2891.0,3451.0,3791.0,3684.0,3256.0,2914.0,2418.0,1886.0,1622.0,1094.0,825.0,603.0,474.0
34,724.0,464.0,295.0,278.0,232.0,243.0,457.0,799.0,1105.0,1567.0,1990.0,2458.0,2465.0,2386.0,2684.0,2322.0,2522.0,2572.0,2317.0,2440.0,1968.0,1263.0,1063.0,845.0
35,862.0,569.6666666666666,405.0,380.3333333333333,445.0,637.6666666666666,1144.3333333333333,1826.0,2335.3333333333335,2678.3333333333335,3054.0,3102.3333333333335,3147.3333333333335,3128.6666666666665,3035.0,2786.6666666666665,2664.3333333333335,2632.6666666666665,2530.6666666666665,1968.6666666666667,1424.6666666666667,978.6666666666666,877.3333333333334,895.3333333333334
36,610.0,484.0,319.0,380.0,499.0,631.0,882.0,1194.0,1693.0,2498.0,3470.0,3712.0,2945.0,3699.0,3707.0,3315.0,2609.0,2543.0,2240.0,1789.0,1481.0,1193.0,975.0,838.0
37,373.0,283.0,238.0,296.0,366.0,575.0,1399.0,2581.0,2936.0,2922.0,3144.0,2997.0,3445.0,3426.0,3387.0,3100.0,3302.0,3335.0,2940.0,2069.0,1468.0,1042.0,862.0,617.0
38,524.0,378.5,263.5,209.0,221.5,307.5,763.0,2325.0,2562.5,2900.5,3820.0,4379.0,4263.5,3814.0,3200.0,2543.0,2230.0,2193.5,1841.5,1535.5,1261.0,1027.0,843.0,689.0
39,451.0,299.0,201.0,208.0,259.0,358.0,644.0,1272.0,1739.0,2598.0,3836.0,4490.0,4032.0,3403.0,3113.0,2396.0,1994.0,2103.0,1932.0,1410.0,1045.0,780.0,635.0,452.0
40,532.5,379.0,275.0,214.5,241.0,325.5,582.0,1444.0,1712.0,2113.5,3000.0,3660.0,3750.5,3672.0,3277.5,2668.0,2425.0,2409.0,2312.5,1661.5,1284.5,1049.0,832.0,724.0
