,0
Neujahr,2017-01-01
Karfreitag,2017-04-14
Ostermontag,2017-04-17
Erster Mai,2017-05-01
Christi Himmelfahrt,2017-05-25
Pfingstmontag,2017-06-05
Tag der Deutschen Einheit,2017-10-03
Erster Weihnachtstag,2017-12-25
Zweiter Weihnachtstag,2017-12-26
Reformationstag,2017-10-31
Heilige Drei Könige,2017-01-06
Fronleichnam,2017-06-15
Allerheiligen,2017-11-01
